=== Evaluation Scores ===

Per-Scene Scores:
  bb6fa5bdafc14e8c_00043: psnr=35.7252, ssim= 0.9769, lpips= 0.0195
  a348013b922a1d67_00006: psnr=32.1780, ssim= 0.9316, lpips= 0.0779
  cd74b1244d112628_00063: psnr=20.0754, ssim= 0.8622, lpips= 0.1658
  6771a51bf0cfce7f_00152: psnr=26.1384, ssim= 0.8935, lpips= 0.1336
  2e109379f53bb221_00035: psnr=32.7687, ssim= 0.9647, lpips= 0.0466
  41abd737e0228c1a_00081: psnr=39.0672, ssim= 0.9818, lpips= 0.0358
  b5fc0c4a2760083b_00025: psnr=33.8844, ssim= 0.9315, lpips= 0.0795
  a7c691c210154b09_00000: psnr=29.0161, ssim= 0.9496, lpips= 0.0640
  052430ff6e2c07c4_00019: psnr=27.2887, ssim= 0.9287, lpips= 0.0833
  365fc12b4f33ada3_00035: psnr=26.1612, ssim= 0.8703, lpips= 0.0904
  57d25dafabb5a238_00032: psnr=33.5690, ssim= 0.9687, lpips= 0.0844
  882c68c70d22f4c5_00049: psnr=28.9152, ssim= 0.9436, lpips= 0.0470
  8adebbb68f2c3f84_00072: psnr=26.3467, ssim= 0.8825, lpips= 0.1068
  ed0c2aca14b99efa_00062: psnr=26.0922, ssim= 0.8199, lpips= 0.1354
  5df12522d9167d54_00033: psnr=32.8991, ssim= 0.9330, lpips= 0.0796
  9490f1219dbbb6ce_00017: psnr=35.4523, ssim= 0.9758, lpips= 0.0555
  0588138dfec165a1_00070: psnr=25.1743, ssim= 0.8329, lpips= 0.2478
  34766105ea9d7a2b_00007: psnr=29.9118, ssim= 0.9385, lpips= 0.0630
  e4f4574df7938f37_00000: psnr=35.9015, ssim= 0.9750, lpips= 0.0653
  d6cd62354e99289f_00041: psnr=30.7155, ssim= 0.9388, lpips= 0.0718
  29e0bfbad00f0d5e_00008: psnr=37.7515, ssim= 0.9686, lpips= 0.0492
  8d5163de9ea4d851_00039: psnr=25.1865, ssim= 0.8483, lpips= 0.1107
  154365ab5a4e067b_00002: psnr=28.3743, ssim= 0.9137, lpips= 0.0580
  071e8c0978097efd_00128: psnr=28.0219, ssim= 0.9064, lpips= 0.0896
  b4b95f8961518954_00026: psnr=28.8380, ssim= 0.9593, lpips= 0.0999
  20d86cff490c0c42_00018: psnr=36.4256, ssim= 0.9797, lpips= 0.0577
  fa5ef1d3968d1b8e_00012: psnr=39.6919, ssim= 0.9826, lpips= 0.0380
  22da7610855d6b9d_00050: psnr=33.5045, ssim= 0.9507, lpips= 0.0820
  81be42df6ccae760_00013: psnr=28.0896, ssim= 0.9395, lpips= 0.0978
  e9b506f37c2389cb_00042: psnr=26.6996, ssim= 0.9194, lpips= 0.0861
  ab4c269f8d523d02_00018: psnr=32.4634, ssim= 0.9663, lpips= 0.0595
  c1ad4232258e87c9_00014: psnr=40.3029, ssim= 0.9827, lpips= 0.0581
  189f95593df3c7f1_00004: psnr=36.1953, ssim= 0.9850, lpips= 0.0508
  0c4c5d5f751aabf5_00012: psnr=36.7858, ssim= 0.9805, lpips= 0.0358
  ef6d7acf3bcf834c_00060: psnr=33.0661, ssim= 0.9505, lpips= 0.0834
  3fd084afa49b6499_00020: psnr=21.2239, ssim= 0.6569, lpips= 0.1894
  6fe141ec9be1a432_00012: psnr=35.0639, ssim= 0.9735, lpips= 0.0638
  4654bcf019ddaf4f_00002: psnr=35.5759, ssim= 0.9736, lpips= 0.0328
  75d475e9558ab806_00001: psnr=38.4039, ssim= 0.9794, lpips= 0.0259
  a16a00a72aa06728_00033: psnr=23.0289, ssim= 0.8411, lpips= 0.1312
  813895d9ceb3f376_00084: psnr=28.2254, ssim= 0.8959, lpips= 0.1561
  fea544b472e9abd1_00012: psnr=21.4521, ssim= 0.7639, lpips= 0.1216
  5fa0f6800a909630_00002: psnr=33.0408, ssim= 0.9541, lpips= 0.0658
  3b6d8db52c54b174_00000: psnr=28.7865, ssim= 0.9225, lpips= 0.0693
  84a2ee4663daf456_00031: psnr=27.4962, ssim= 0.9369, lpips= 0.0810
  fdaab1f49851782c_00031: psnr=33.1076, ssim= 0.9623, lpips= 0.0570
  01a628e2c509b823_00062: psnr=30.8549, ssim= 0.9405, lpips= 0.0686
  efa64a0035040381_00127: psnr=35.7128, ssim= 0.9287, lpips= 0.0711
  656381bea665bf3d_00027: psnr=27.0679, ssim= 0.9002, lpips= 0.0822
  f315d65b981724a1_00056: psnr=21.2028, ssim= 0.5595, lpips= 0.2946
  62e7d55109468b27_00009: psnr=37.8359, ssim= 0.9863, lpips= 0.0534
  2d4efa3897a4ba2d_00004: psnr=34.8513, ssim= 0.9660, lpips= 0.0363
  6fdd15be262854f1_00021: psnr=35.6946, ssim= 0.9762, lpips= 0.0321
  0425df3e42ba0de3_00152: psnr=34.9397, ssim= 0.9579, lpips= 0.0711
  bac90b67024759ee_00020: psnr=36.3105, ssim= 0.9766, lpips= 0.0276
  f3ef8cde65afcc5e_00003: psnr=36.9055, ssim= 0.9733, lpips= 0.0441
  9f22541e0c3894c1_00008: psnr=32.5986, ssim= 0.9525, lpips= 0.0919
  3087828bc27bc4c7_00015: psnr=29.8270, ssim= 0.9375, lpips= 0.0691
  4ef560091d948f8e_00063: psnr=33.6158, ssim= 0.9648, lpips= 0.0451
  14f477e7d5af5b91_00017: psnr=27.8158, ssim= 0.9272, lpips= 0.1083
  e68dd764c51470c0_00027: psnr=30.2958, ssim= 0.9350, lpips= 0.0821
  0869b66f912b845d_00192: psnr=35.1959, ssim= 0.9635, lpips= 0.0771
  4e0e71a0930d359d_00000: psnr=36.8532, ssim= 0.9811, lpips= 0.0393
  5be4f1f46b408d68_00108: psnr=32.6947, ssim= 0.9667, lpips= 0.0511
  44a85c75cf4a6da8_00045: psnr=28.2855, ssim= 0.9510, lpips= 0.0780
  1bf49251fdd23cc0_00003: psnr=37.4622, ssim= 0.9825, lpips= 0.0489
  7f56a807c4e3fbcb_00012: psnr=36.5212, ssim= 0.9788, lpips= 0.0347
  ea238737feca4622_00033: psnr=28.0012, ssim= 0.9270, lpips= 0.1060
  b70c3d4dcc51f866_00009: psnr=31.9049, ssim= 0.9594, lpips= 0.0714
  dbb340f63c6ae50b_00106: psnr=28.6748, ssim= 0.9102, lpips= 0.0750
  0e16d64d961fe855_00011: psnr=23.6173, ssim= 0.8464, lpips= 0.1254
  98309bf872051c85_00182: psnr=26.1037, ssim= 0.8589, lpips= 0.1036
  de45926738229f67_00022: psnr=30.9691, ssim= 0.9685, lpips= 0.0920
