=== Evaluation Scores ===

Per-Scene Scores:
  bb6fa5bdafc14e8c_00043: psnr=33.9164, ssim= 0.9658, lpips= 0.0654
  a348013b922a1d67_00006: psnr=32.3668, ssim= 0.9244, lpips= 0.1401
  cd74b1244d112628_00063: psnr=31.2374, ssim= 0.8968, lpips= 0.2222
  6771a51bf0cfce7f_00152: psnr=23.5518, ssim= 0.8368, lpips= 0.2306
  2e109379f53bb221_00035: psnr=30.9088, ssim= 0.9358, lpips= 0.1082
  41abd737e0228c1a_00081: psnr=32.6653, ssim= 0.9520, lpips= 0.1013
  b5fc0c4a2760083b_00025: psnr=31.6608, ssim= 0.8979, lpips= 0.1647
  a7c691c210154b09_00000: psnr=27.5145, ssim= 0.9407, lpips= 0.1326
  052430ff6e2c07c4_00019: psnr=26.3782, ssim= 0.8920, lpips= 0.1595
  365fc12b4f33ada3_00035: psnr=24.3299, ssim= 0.7875, lpips= 0.1930
  57d25dafabb5a238_00032: psnr=30.8921, ssim= 0.9399, lpips= 0.1482
  882c68c70d22f4c5_00049: psnr=24.9055, ssim= 0.8876, lpips= 0.1133
  8adebbb68f2c3f84_00072: psnr=25.7079, ssim= 0.8263, lpips= 0.2007
  ed0c2aca14b99efa_00062: psnr=26.2299, ssim= 0.8434, lpips= 0.2200
  5df12522d9167d54_00033: psnr=31.4440, ssim= 0.8995, lpips= 0.1515
  9490f1219dbbb6ce_00017: psnr=33.6577, ssim= 0.9657, lpips= 0.1107
  0588138dfec165a1_00070: psnr=20.7762, ssim= 0.8055, lpips= 0.3230
  34766105ea9d7a2b_00007: psnr=27.9895, ssim= 0.9042, lpips= 0.1320
  e4f4574df7938f37_00000: psnr=33.5531, ssim= 0.9648, lpips= 0.1231
  d6cd62354e99289f_00041: psnr=31.7081, ssim= 0.9597, lpips= 0.1207
  29e0bfbad00f0d5e_00008: psnr=32.4002, ssim= 0.9435, lpips= 0.1103
  8d5163de9ea4d851_00039: psnr=24.7437, ssim= 0.8418, lpips= 0.1872
  154365ab5a4e067b_00002: psnr=26.4196, ssim= 0.8891, lpips= 0.1182
  071e8c0978097efd_00128: psnr=26.4098, ssim= 0.8702, lpips= 0.1692
  b4b95f8961518954_00026: psnr=27.9216, ssim= 0.9367, lpips= 0.1500
  20d86cff490c0c42_00018: psnr=27.5856, ssim= 0.9265, lpips= 0.1259
  fa5ef1d3968d1b8e_00012: psnr=33.8304, ssim= 0.9515, lpips= 0.0951
  22da7610855d6b9d_00050: psnr=29.6748, ssim= 0.9073, lpips= 0.1705
  81be42df6ccae760_00013: psnr=23.8450, ssim= 0.8940, lpips= 0.1997
  e9b506f37c2389cb_00042: psnr=26.1752, ssim= 0.9187, lpips= 0.1595
  ab4c269f8d523d02_00018: psnr=30.9880, ssim= 0.9516, lpips= 0.1164
  c1ad4232258e87c9_00014: psnr=37.5801, ssim= 0.9757, lpips= 0.1229
  189f95593df3c7f1_00004: psnr=36.2026, ssim= 0.9751, lpips= 0.1021
  0c4c5d5f751aabf5_00012: psnr=33.7790, ssim= 0.9566, lpips= 0.0940
  ef6d7acf3bcf834c_00060: psnr=31.1205, ssim= 0.9439, lpips= 0.1573
  3fd084afa49b6499_00020: psnr=23.2095, ssim= 0.7497, lpips= 0.2032
  6fe141ec9be1a432_00012: psnr=33.6198, ssim= 0.9602, lpips= 0.1226
  4654bcf019ddaf4f_00002: psnr=31.5763, ssim= 0.9296, lpips= 0.0965
  75d475e9558ab806_00001: psnr=33.1836, ssim= 0.9332, lpips= 0.0877
  a16a00a72aa06728_00033: psnr=22.2924, ssim= 0.8186, lpips= 0.2137
  813895d9ceb3f376_00084: psnr=28.6258, ssim= 0.9183, lpips= 0.2402
  fea544b472e9abd1_00012: psnr=20.5020, ssim= 0.7290, lpips= 0.2025
  5fa0f6800a909630_00002: psnr=31.1669, ssim= 0.9341, lpips= 0.1273
  3b6d8db52c54b174_00000: psnr=26.2839, ssim= 0.8777, lpips= 0.1485
  84a2ee4663daf456_00031: psnr=28.3036, ssim= 0.9273, lpips= 0.1384
  fdaab1f49851782c_00031: psnr=32.7842, ssim= 0.9544, lpips= 0.1166
  01a628e2c509b823_00062: psnr=29.9599, ssim= 0.9300, lpips= 0.1345
  efa64a0035040381_00127: psnr=31.2985, ssim= 0.8708, lpips= 0.1485
  656381bea665bf3d_00027: psnr=24.5741, ssim= 0.8572, lpips= 0.1546
  f315d65b981724a1_00056: psnr=19.9125, ssim= 0.5192, lpips= 0.3954
  62e7d55109468b27_00009: psnr=32.8837, ssim= 0.9771, lpips= 0.1140
  2d4efa3897a4ba2d_00004: psnr=29.8031, ssim= 0.9090, lpips= 0.1047
  6fdd15be262854f1_00021: psnr=31.9031, ssim= 0.9402, lpips= 0.0877
  0425df3e42ba0de3_00152: psnr=31.1126, ssim= 0.9197, lpips= 0.1504
  bac90b67024759ee_00020: psnr=35.0980, ssim= 0.9629, lpips= 0.0787
  f3ef8cde65afcc5e_00003: psnr=34.9432, ssim= 0.9535, lpips= 0.1038
  9f22541e0c3894c1_00008: psnr=31.0599, ssim= 0.9465, lpips= 0.1591
  3087828bc27bc4c7_00015: psnr=29.2151, ssim= 0.9239, lpips= 0.1339
  4ef560091d948f8e_00063: psnr=29.7147, ssim= 0.9415, lpips= 0.1051
  14f477e7d5af5b91_00017: psnr=27.6090, ssim= 0.9309, lpips= 0.1589
  e68dd764c51470c0_00027: psnr=27.7533, ssim= 0.8982, lpips= 0.1567
  0869b66f912b845d_00192: psnr=31.5994, ssim= 0.9352, lpips= 0.1564
  4e0e71a0930d359d_00000: psnr=34.0307, ssim= 0.9673, lpips= 0.0876
  5be4f1f46b408d68_00108: psnr=27.0719, ssim= 0.9173, lpips= 0.1279
  44a85c75cf4a6da8_00045: psnr=28.0896, ssim= 0.9438, lpips= 0.1388
  1bf49251fdd23cc0_00003: psnr=34.2455, ssim= 0.9729, lpips= 0.1026
  7f56a807c4e3fbcb_00012: psnr=32.4853, ssim= 0.9498, lpips= 0.0965
  ea238737feca4622_00033: psnr=26.9902, ssim= 0.9053, lpips= 0.1854
  b70c3d4dcc51f866_00009: psnr=29.1248, ssim= 0.9408, lpips= 0.1291
  dbb340f63c6ae50b_00106: psnr=26.8088, ssim= 0.8758, lpips= 0.1445
  0e16d64d961fe855_00011: psnr=23.0664, ssim= 0.7955, lpips= 0.2109
  98309bf872051c85_00182: psnr=24.9514, ssim= 0.8303, lpips= 0.1778
  de45926738229f67_00022: psnr=30.4919, ssim= 0.9682, lpips= 0.1617
