scene,psnr,ssim,lpips
b62fcc6856e45647_00019,22.4599,0.7689,0.2165
3533396ef5f351ba_00038,22.3661,0.7492,0.2361
1defdda324307269_00071,22.3518,0.7566,0.2766
629106572dfe16c7_00095,22.3447,0.8344,0.1719
a16a00a72aa06728_00033,22.2924,0.8186,0.2137
33afdeba3cd5af05_00054,22.2871,0.8274,0.179
b26e6c80d283c4c8_00046,22.1102,0.8272,0.1662
ff7f5042dddd5e12_00025,22.0473,0.8189,0.2575
de67e3a0b0648cfe_00016,21.8454,0.8994,0.1707
ff4c8a31f4153121_00017,21.6959,0.8551,0.1839
3b122e1becb5fcb7_00108,21.6379,0.6195,0.381
fe6690ee4f6c7244_00136,21.494,0.6997,0.2734
753ccd3da86a8cd8_00088,21.278,0.8618,0.2316
cac91919db0b7a85_00022,21.1168,0.8607,0.2398
503d82bee145b841_00142,21.1042,0.8176,0.2689
3a79b9aefafb0b8d_00003,21.033,0.7706,0.2035
c4018c426b7f34fe_00199,21.0174,0.6819,0.3536
20100b779d28b6d5_00062,20.9617,0.8186,0.2127
e5c955c5cad28192_00000,20.9128,0.8664,0.1983
0588138dfec165a1_00070,20.7762,0.8055,0.323
c065104094628e8d_00012,20.6041,0.7513,0.2033
03a78406de1d0993_00005,20.5247,0.6553,0.2783
fea544b472e9abd1_00012,20.502,0.729,0.2025
d93fb7e63006df0b_00044,20.3795,0.7266,0.2155
e621b4536f4da311_00040,19.9814,0.7896,0.2989
f315d65b981724a1_00056,19.9125,0.5192,0.3954
309bed43e4406d72_00012,19.489,0.708,0.3053
c0677cb9b8d767a6_00157,19.4141,0.7621,0.3511
99a8af5125fb4c23_00002,17.9478,0.6441,0.2944
4b4c0c27204604a3_00034,17.1909,0.6721,0.3181
a9b3ff60b213e099_00032,16.0442,0.7716,0.2742
