scene,psnr,ssim,lpips
a348013b922a1d67_00006,32.3668,0.9244,0.1401
cb38d67088b66084_00049,32.3341,0.943,0.0842
41bcd011f99bfb66_00004,32.3136,0.9641,0.075
5331fddb30f9132e_00006,32.2639,0.9484,0.0978
8038a001feaffb7b_00003,32.2466,0.9636,0.114
9786c8d75194a1bf_00033,32.1846,0.9516,0.0996
e4512bdb2540e049_00101,32.1487,0.9517,0.1262
d7c79e9bf6b0e42e_00026,32.1433,0.9285,0.0974
518f26dcd055d78d_00002,32.0796,0.9384,0.0982
29a09527214b3dc5_00009,32.0508,0.9399,0.1128
50c3e2b700077e76_00060,32.0507,0.9414,0.1334
b11afd8c64079de8_00123,32.0195,0.9578,0.127
2bec33eeeab0bb9d_00005,31.9912,0.9573,0.0849
4047ea5cbe353c08_00016,31.9507,0.9377,0.082
ce51b0b5bcec88e7_00027,31.9212,0.9616,0.1105
e1654fcb98bf93e6_00006,31.9127,0.9423,0.0897
6fdd15be262854f1_00021,31.9031,0.9402,0.0877
bddba93182c33779_00019,31.902,0.9422,0.1271
3aaed2e6422d7d57_00137,31.8809,0.9525,0.1238
f956425e6e6f9863_00048,31.8318,0.9118,0.1625
4b85062505816744_00026,31.8003,0.9469,0.1192
d3a01038c5f21473_00139,31.7731,0.9513,0.1272
180542b70f713d5b_00015,31.7516,0.9554,0.1041
5f8e6b91cb78aa9f_00003,31.7145,0.9461,0.1297
d6cd62354e99289f_00041,31.7081,0.9597,0.1207
f60664acd06e22aa_00040,31.706,0.9544,0.135
88eb992d14f03af3_00006,31.6797,0.945,0.0835
b5fc0c4a2760083b_00025,31.6608,0.8979,0.1647
12f45658983d380d_00045,31.657,0.9416,0.1376
a56ba2efb5e3fdd9_00033,31.6541,0.89,0.1207
2a3baeaa72b86812_00013,31.645,0.9197,0.1519
f2243a6f96faabc9_00012,31.6448,0.9375,0.1399
a6fa92e8204f6118_00002,31.6176,0.954,0.143
dfa54c21e3d2feb4_00010,31.6129,0.9286,0.1174
c19cc383d575e722_00044,31.6023,0.9523,0.1399
0869b66f912b845d_00192,31.5994,0.9352,0.1564
4654bcf019ddaf4f_00002,31.5763,0.9296,0.0965
33517e9838fe5f20_00052,31.5718,0.9366,0.0758
afe4e799a94e06b3_00054,31.504,0.9419,0.1151
11a680776863b321_00009,31.4667,0.9195,0.1061
2c1e6581c64ffb04_00001,31.456,0.9379,0.1132
975e3b9c0ee44348_00198,31.4499,0.9373,0.1146
5df12522d9167d54_00033,31.444,0.8995,0.1515
ed8a46b1aeb9b0e7_00002,31.3908,0.946,0.1171
8951e64bab803550_00004,31.3709,0.945,0.1168
4a1920283e3087de_00002,31.3635,0.9261,0.0849
1b87f55dec310243_00165,31.3583,0.9424,0.1308
bc95e5c7e357f1b7_00035,31.3446,0.9506,0.1256
3dba1838ed366ab5_00017,31.3381,0.9603,0.1184
efa64a0035040381_00127,31.2985,0.8708,0.1485
b6d52e4eac9880b0_00050,31.2939,0.9252,0.192
82afd7cd03ef7111_00039,31.2612,0.9524,0.116
b67312c3e1dbea65_00015,31.2565,0.9531,0.1593
de589d5890b4e6e8_00002,31.2531,0.9351,0.1241
debc3490ba0bd84b_00034,31.2505,0.936,0.0981
cd74b1244d112628_00063,31.2374,0.8968,0.2222
ef1457995bca9afd_00002,31.2346,0.9366,0.1071
cce1ae2fda6376ec_00102,31.2042,0.9369,0.1398
4c8fd5318ae8d467_00161,31.1837,0.9265,0.138
5fa0f6800a909630_00002,31.1669,0.9341,0.1273
0dd9e020b6d9d687_00000,31.1387,0.9489,0.1113
60bf89b196577c8c_00005,31.1377,0.9449,0.1265
ef6d7acf3bcf834c_00060,31.1205,0.9439,0.1573
0425df3e42ba0de3_00152,31.1126,0.9197,0.1504
8b212f2755d955ec_00040,31.1105,0.9367,0.1546
9f22541e0c3894c1_00008,31.0599,0.9465,0.1591
52aef823cc9a031c_00020,31.0478,0.9487,0.1481
f5c2e696cb86b701_00054,31.037,0.9515,0.1407
b4d751f16c3826d8_00001,31.0331,0.9395,0.1438
40ca76de44a6e1a9_00043,31.0032,0.9058,0.1073
