=== Evaluation Scores ===

Per-Scene Scores:
  bb6fa5bdafc14e8c_00043: psnr=28.1504, ssim= 0.9098, lpips= 0.0806
  a348013b922a1d67_00006: psnr=26.5324, ssim= 0.8281, lpips= 0.1776
  cd74b1244d112628_00063: psnr=30.5454, ssim= 0.8910, lpips= 0.2283
  6771a51bf0cfce7f_00152: psnr=24.1524, ssim= 0.8489, lpips= 0.2264
  2e109379f53bb221_00035: psnr=29.2968, ssim= 0.9211, lpips= 0.1118
  41abd737e0228c1a_00081: psnr=33.1105, ssim= 0.9549, lpips= 0.1006
  b5fc0c4a2760083b_00025: psnr=31.3782, ssim= 0.8885, lpips= 0.1700
  a7c691c210154b09_00000: psnr=26.5686, ssim= 0.9171, lpips= 0.1392
  052430ff6e2c07c4_00019: psnr=25.8792, ssim= 0.8844, lpips= 0.1632
  365fc12b4f33ada3_00035: psnr=24.0409, ssim= 0.7784, lpips= 0.1971
  57d25dafabb5a238_00032: psnr=31.2343, ssim= 0.9431, lpips= 0.1475
  882c68c70d22f4c5_00049: psnr=24.8560, ssim= 0.8831, lpips= 0.1156
  8adebbb68f2c3f84_00072: psnr=25.1847, ssim= 0.8119, lpips= 0.2053
  ed0c2aca14b99efa_00062: psnr=25.9161, ssim= 0.8366, lpips= 0.2233
  5df12522d9167d54_00033: psnr=30.8146, ssim= 0.8842, lpips= 0.1588
  9490f1219dbbb6ce_00017: psnr=30.8655, ssim= 0.9283, lpips= 0.1285
  0588138dfec165a1_00070: psnr=13.5432, ssim= 0.6629, lpips= 0.4779
  34766105ea9d7a2b_00007: psnr=26.9884, ssim= 0.8851, lpips= 0.1385
  e4f4574df7938f37_00000: psnr=32.7895, ssim= 0.9605, lpips= 0.1250
  d6cd62354e99289f_00041: psnr=31.1135, ssim= 0.9499, lpips= 0.1238
  29e0bfbad00f0d5e_00008: psnr=27.6031, ssim= 0.8386, lpips= 0.1471
  8d5163de9ea4d851_00039: psnr=20.2283, ssim= 0.6999, lpips= 0.2507
  154365ab5a4e067b_00002: psnr=24.6381, ssim= 0.8482, lpips= 0.1323
  071e8c0978097efd_00128: psnr=25.9084, ssim= 0.8438, lpips= 0.1768
  b4b95f8961518954_00026: psnr=22.9378, ssim= 0.8693, lpips= 0.1725
  20d86cff490c0c42_00018: psnr=28.3956, ssim= 0.9368, lpips= 0.1216
  fa5ef1d3968d1b8e_00012: psnr=33.1514, ssim= 0.9461, lpips= 0.0986
  22da7610855d6b9d_00050: psnr=30.1242, ssim= 0.9094, lpips= 0.1708
  81be42df6ccae760_00013: psnr=20.9319, ssim= 0.7967, lpips= 0.2375
  e9b506f37c2389cb_00042: psnr=24.7505, ssim= 0.8636, lpips= 0.1768
  ab4c269f8d523d02_00018: psnr=31.4682, ssim= 0.9557, lpips= 0.1163
  c1ad4232258e87c9_00014: psnr=37.3785, ssim= 0.9751, lpips= 0.1235
  189f95593df3c7f1_00004: psnr=35.6512, ssim= 0.9721, lpips= 0.1026
  0c4c5d5f751aabf5_00012: psnr=33.5568, ssim= 0.9553, lpips= 0.0946
  ef6d7acf3bcf834c_00060: psnr=30.0431, ssim= 0.9176, lpips= 0.1693
  3fd084afa49b6499_00020: psnr=21.7414, ssim= 0.7138, lpips= 0.2382
  6fe141ec9be1a432_00012: psnr=33.7176, ssim= 0.9602, lpips= 0.1229
  4654bcf019ddaf4f_00002: psnr=31.5917, ssim= 0.9284, lpips= 0.0968
  75d475e9558ab806_00001: psnr=33.2048, ssim= 0.9332, lpips= 0.0873
  a16a00a72aa06728_00033: psnr=21.7672, ssim= 0.8032, lpips= 0.2204
  813895d9ceb3f376_00084: psnr=26.0314, ssim= 0.8813, lpips= 0.2493
  fea544b472e9abd1_00012: psnr=19.8094, ssim= 0.7182, lpips= 0.2026
  5fa0f6800a909630_00002: psnr=30.4333, ssim= 0.9225, lpips= 0.1341
  3b6d8db52c54b174_00000: psnr=25.1090, ssim= 0.8564, lpips= 0.1561
  84a2ee4663daf456_00031: psnr=25.1516, ssim= 0.8714, lpips= 0.1628
  fdaab1f49851782c_00031: psnr=30.9182, ssim= 0.9406, lpips= 0.1218
